"Model","Model_Formula","Predictor","Statistic","Df","p_value","Significance"
"SRLran2","SRL_m_g ~ year + GW_level_cm + month","year",3653.513,1,0.239,""
"SRLran2","SRL_m_g ~ year + GW_level_cm + month","GW_level_cm",2473.496,1,0.331,""
"SRLran2","SRL_m_g ~ year + GW_level_cm + month","month",32372.973,1,0.00115,"**"
"SRLran2","SRL_m_g ~ year + GW_level_cm + month","Residuals",81191.095,32,NA,""
"RTDran2","log(RTD_g_cm3) ~ year * GW_level_cm + month","year",1.135,1,7.58e-12,"***"
"RTDran2","log(RTD_g_cm3) ~ year * GW_level_cm + month","GW_level_cm",0.017,1,0.203,""
"RTDran2","log(RTD_g_cm3) ~ year * GW_level_cm + month","month",0.544,1,2.87e-08,"***"
"RTDran2","log(RTD_g_cm3) ~ year * GW_level_cm + month","year:GW_level_cm",0.044,1,0.0447,"*"
"RTDran2","log(RTD_g_cm3) ~ year * GW_level_cm + month","Residuals",0.312,31,NA,""
"RDran2","RD_mm ~ year + GW_level_cm + month","year",0.002,1,0.000163,"***"
"RDran2","RD_mm ~ year + GW_level_cm + month","GW_level_cm",0.001,1,0.00575,"**"
"RDran2","RD_mm ~ year + GW_level_cm + month","month",0,1,0.47,""
"RDran2","RD_mm ~ year + GW_level_cm + month","Residuals",0.004,32,NA,""
"Hyphran3","hyphae_fract ~ year + GW_level_cm + month","year",7.577,1,0.00591,"**"
"Hyphran3","hyphae_fract ~ year + GW_level_cm + month","GW_level_cm",14.965,1,0.000109,"***"
"Hyphran3","hyphae_fract ~ year + GW_level_cm + month","month",3.117,1,0.0775,""
"BMran4","bmy_g ~ year * poly(GW_level_cm, 2)","year",617716.125,1,0.000676,"***"
"BMran4","bmy_g ~ year * poly(GW_level_cm, 2)","poly(GW_level_cm, 2)",707821.314,2,0.00146,"**"
"BMran4","bmy_g ~ year * poly(GW_level_cm, 2)","year:poly(GW_level_cm, 2)",266744.915,2,0.0358,"*"
"BMran4","bmy_g ~ year * poly(GW_level_cm, 2)","Residuals",359368.049,12,NA,""
